Experiment_ID,Input_Competence_total,Input_Stickiness,Input_Complexity,Output_Time
174,0.09081818181818183,0,0,1333.6899999999998
151,0.7878181818181819,0,0,292.49
148,0.6665454545454546,0,0,555.62
158,0.3634545454545454,0,0,688.75
164,0.2724545454545455,0,0,558.9
227,0.3634545454545454,0,0,488.33000000000004
233,0.1210909090909091,0,0,1042.8500000000001
234,0.5454545454545454,0,0,772.4000000000001
237,0.4543636363636363,0,0,408.42
240,0.36327272727272725,0,0,459.14000000000004
374,0.8181818181818182,1,0,155.73
376,0.8484545454545455,1,0,397.61
378,1.0,1,0,180.74
381,0.5452727272727274,1,0,307.17
383,1.0,1,0,119.82000000000001
388,0.908909090909091,1,0,480.20000000000005
390,0.2421818181818182,1,0,545.25
394,0.18163636363636362,1,0,593.5799999999999
396,0.18163636363636362,1,0,798.25
399,0.36354545454545456,1,0,443.87
401,0.42381818181818187,1,0,404.8
181,0.39390909090909093,0,1,967.78
192,0.06054545454545455,0,1,528.8699999999999
186,0.3938181818181818,0,1,922.92
187,0.6363636363636364,0,1,841.3
204,0.3936363636363636,0,1,1592.43
210,0.4847272727272728,0,1,1646.1399999999999
214,0.30272727272727273,0,1,943.4199999999998
215,0.33309090909090916,0,1,1146.03
221,0.6059090909090908,0,1,640.2199999999999
407,0.18163636363636362,1,1,1001.18
409,0.8787272727272728,1,1,463.08000000000004
412,0.7878181818181819,1,1,818.9599999999999
414,0.4844545454545455,1,1,745.26
415,0.15136363636363637,1,1,984.59
417,0.2119090909090909,1,1,382.38
419,0.8787272727272728,1,1,209.04
421,0.18163636363636362,1,1,331.45
432,0.8179090909090909,1,1,495.89
434,0.48463636363636375,1,1,561.6899999999999
436,0.5451818181818182,1,1,925.7099999999999
438,0.4543636363636363,1,1,1137.91
441,0.42381818181818187,1,1,913.8300000000002
443,0.4843636363636364,1,1,819.32
445,0.5453636363636364,1,1,815.5600000000001
451,0.8179090909090909,1,1,149.91
450,0.5755454545454547,1,1,482.38000000000005
455,0.5451818181818182,1,1,409.31
491,1.0,1,1,293.91999999999996
461,0.4543636363636363,1,1,435.04999999999995
463,0.8179090909090909,1,1,196.99
465,0.8181818181818182,1,1,145.11999999999998
472,0.5149090909090909,1,1,535.03
478,0.2421818181818182,1,1,425.47
476,0.2724545454545455,1,1,1081.83
481,0.45409090909090916,1,1,943.2200000000001
482,0.7272727272727273,1,1,602.19
